seminar mean_pct sd_pct
1 65.0 20.9
2 64.3 28.9
3 70.7 20.0
4 77.3 22.1
5 73.5 25.8
6 63.7 21.2
7 80.9 14.5
9 63.5 22.9
10 81.0 30.1
11 86.2 8.1
12 77.1 13.6
13 94.2 4.9
14 80.0 28.1
15 71.2 20.9
16 67.5 23.6
17 75.2 18.5
18 53.2 35.8
19 61.7 29.7
20 66.8 27.9
21 56.7 35.7
22 75.2 20.9
23 58.5 37.4
24 68.4 28.7
25 77.1 8.9
26 67.8 4.5
27 43.4 3.5
28 43.5 0.0
29 65.2 4.6
30 33.3 0.0
31 80.8 3.1
32 83.3 2.5
33 73.8 11.3
35 79.2 2.3
36 59.6 10.6
37 50.7 24.4
39 63.5 18.1
