seminar mean_pct
1 65.0
2 64.3
3 70.7
4 77.3
5 73.5
6 63.7
7 80.9
9 63.5
10 81.0
11 86.2
12 77.1
13 94.2
14 80.0
15 71.2
16 67.5
17 75.2
18 53.2
19 61.7
20 66.8
21 56.7
22 75.2
23 58.5
24 68.4
25 77.1
26 67.8
27 43.4
28 43.5
29 65.2
30 33.3
31 80.8
32 83.3
33 73.8
35 79.2
36 59.6
37 50.7
39 63.5
