seminar,N,period
1,18,pre
2,17,pre
3,8,pre
4,14,pre
5,14,pre
6,13,pre
7,18,pre
9,20,pre
10,9,pre
11,7,pre
12,7,pre
13,2,pre
14,8,pre
15,13,pre
16,23,pre
17,27,pre
18,7,pre
19,16,pre
20,8,pre
21,15,pre
22,8,pre
23,11,pre
24,14,pre
25,6,post
26,3,post
27,2,post
28,1,post
29,3,post
30,1,post
31,12,post
32,3,post
33,7,post
35,3,post
36,5,post
37,15,post
39,12,post
