module,N,max_possible,mean_pct,median_pct,sd_pct,date
1,19,34.0,77.2,88.2,28.39,2024-11-03
2,27,43.0,84.6,88.4,23.82,2024-12-01
3,15,40.0,75.2,72.5,17.51,2024-12-29
4,13,54.0,83.6,85.2,14.84,2025-02-23
5,9,65.0,63.8,72.3,26.56,2025-03-30
6,7,90.0,72.1,71.1,18.52,2025-04-27
7,9,51.0,74.3,78.4,21.52,2025-05-11
